part_nr;participant_name;date_and_time;time_on_screen;time_since_last_pop;xyY(x);xyY(y);xyY(Y);P3_R;P3_G;P3_B;base_P3_x;base_P3_y;base_P3_Y;base_P3_R;base_P3_G;base_P3_B;differentiated?;distance_to_base_xyY;distamce_to_base_P3;lvl_nr;stage_nr;part_age;part_sex;part_eye_correct;part_nearfar;part_eye_color;part_birth;part_reciding;place_on_screen(x);place_on_screen(y)
;;2/24/2025 12:38:29 PM;0.36;2.399998;0.4273072;0.3281457;0.2900618;0.7872522;0.4849205;0.4830221;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.008135021;1.04318;1;0;;;;;;;;1.24;3.69
;;2/24/2025 12:38:29 PM;0.36;2.399998;0.43216;0.3362808;0.2900618;0.7841552;0.488612;0.4645096;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.004852891;1.034123;1;0;;;;;;;;1.08;0.14
;;2/24/2025 12:38:29 PM;0.36;2.399998;0.4337804;0.3362808;0.2900618;0.7865851;0.4872086;0.462999;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.006473243;1.034629;1;0;;;;;;;;-9.03;-2.37
;;2/24/2025 12:38:29 PM;0.36;2.399998;0.4249832;0.3386047;0.2900618;0.7703583;0.4968926;0.4671584;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.003286611;1.028879;1;0;;;;;;;;-4.96;3.7
;;2/24/2025 12:38:29 PM;0.36;2.399998;0.4371378;0.3362808;0.2900618;0.7915886;0.4842847;0.4598495;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.009830594;1.035667;1;0;;;;;;;;-4.639999;-3.23
;;2/24/2025 12:38:30 PM;0.06;0.4800001;0.4215548;0.3305284;0.2900618;0.7753029;0.4923246;0.4841016;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;True;0.008135016;1.038187;1;0;;;;;;;;-8.97;2.29
;;2/24/2025 12:38:30 PM;0.36;2.399998;0.4273072;0.3495847;0.2900618;0.7604353;0.5045584;0.4463838;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.01330391;1.015923;1;0;;;;;;;;-5.17;0.64
;;2/24/2025 12:38:30 PM;0.36;2.399998;0.4224543;0.3362808;0.2900618;0.7693899;0.4969136;0.4734317;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.004852891;1.031029;1;0;;;;;;;;-3.15;-0.48
;;2/24/2025 12:38:30 PM;0.36;2.399998;0.4276607;0.3359272;0.2900618;0.7778028;0.4921511;0.4692784;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.0004999881;1.033156;1;0;;;;;;;;1.24;3.69
;;2/24/2025 12:38:30 PM;0.36;2.399998;0.4224543;0.3362808;0.2900618;0.7693899;0.4969136;0.4734317;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.004852891;1.031029;1;0;;;;;;;;1.08;0.14
;;2/24/2025 12:38:30 PM;0.36;2.399998;0.4260344;0.335008;0.2900618;0.7764879;0.4926844;0.4723465;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.001800008;1.033819;1;0;;;;;;;;-9.03;-2.37
;;2/24/2025 12:38:30 PM;0.36;2.399998;0.4296311;0.3386047;0.2900618;0.777415;0.4929661;0.4628698;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.003286611;1.030358;1;0;;;;;;;;-4.96;3.7
;;2/24/2025 12:38:30 PM;0.36;2.399998;0.4330595;0.3305284;0.2900618;0.7928922;0.4821703;0.4736198;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.008135016;1.041865;1;0;;;;;;;;-4.639999;-3.23
;;2/24/2025 12:38:30 PM;0.12;0.9599996;0.4276607;0.3359272;0.2900618;0.7778028;0.4921511;0.4692784;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;True;0.0004999881;1.033156;1;0;;;;;;;;-8.97;2.29
;;2/24/2025 12:38:31 PM;0.42;2.399998;0.4273072;0.3281457;0.2900618;0.7872522;0.4849205;0.4830221;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.008135021;1.04318;1;0;;;;;;;;-5.17;0.64
;;2/24/2025 12:38:31 PM;0.42;2.399998;0.4296311;0.3386047;0.2900618;0.777415;0.4929661;0.4628698;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.003286611;1.030358;1;0;;;;;;;;-3.15;-0.48
;;2/24/2025 12:38:31 PM;0.42;2.399998;0.4249832;0.3339568;0.2900618;0.7762129;0.4926009;0.4751092;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.003286611;1.034839;1;0;;;;;;;;1.24;3.69
;;2/24/2025 12:38:31 PM;0.42;2.399998;0.4255072;0.3362808;0.2900618;0.774074;0.4943213;0.4706482;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.001800001;1.032014;1;0;;;;;;;;1.08;0.14
;;2/24/2025 12:38:31 PM;0.42;2.399998;0.4178999;0.3268735;0.2900618;0.7743102;0.4920235;0.493663;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.01330391;1.0418;1;0;;;;;;;;-9.03;-2.37
;;2/24/2025 12:38:31 PM;0.42;2.399998;0.4278072;0.3362808;0.2900618;0.7775785;0.4923569;0.4685374;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.0004999936;1.032749;1;0;;;;;;;;-4.96;3.7
;;2/24/2025 12:38:31 PM;0.42;2.399998;0.4273072;0.342754;0.2900618;0.7687451;0.4986714;0.4579495;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.006473243;1.024383;1;0;;;;;;;;-4.639999;-3.23
;;2/24/2025 12:38:31 PM;0.09999999;0.7999998;0.4178999;0.345688;0.2900618;0.7507752;0.5088276;0.4616525;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;True;0.01330391;1.017689;1;0;;;;;;;;-8.97;2.29
;;2/24/2025 12:38:31 PM;0.4;2.399998;0.4273072;0.3329942;0.2900618;0.7809942;0.4896729;0.4746432;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.0032866;1.036831;1;0;;;;;;;;-5.17;0.64
;;2/24/2025 12:38:31 PM;0.4;2.399998;0.4178999;0.3268735;0.2900618;0.7743102;0.4920235;0.493663;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.01330391;1.0418;1;0;;;;;;;;-3.15;-0.48
;;2/24/2025 12:38:31 PM;0.4;2.399998;0.4367144;0.3268735;0.2900618;0.8031727;0.4750701;0.4766111;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.01330391;1.047825;1;0;;;;;;;;1.24;3.69
;;2/24/2025 12:38:31 PM;0.4;2.399998;0.4174766;0.3362808;0.2900618;0.7616715;0.5011042;0.4779268;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.009830594;1.029399;1;0;;;;;;;;1.08;0.14
;;2/24/2025 12:38:31 PM;0.4;2.399998;0.4367144;0.345688;0.2900618;0.7791805;0.4935032;0.4440763;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.01330391;1.023656;1;0;;;;;;;;-9.03;-2.37
;;2/24/2025 12:38:31 PM;0.4;2.399998;0.4273072;0.3344808;0.2900618;0.7790989;0.4910911;0.4720862;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.001800001;1.034906;1;0;;;;;;;;-4.96;3.7
;;2/24/2025 12:38:31 PM;0.4;2.399998;0.4238757;0.3397123;0.2900618;0.7672861;0.4988157;0.4662878;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.004852872;1.027117;1;0;;;;;;;;-4.639999;-3.23
;;2/24/2025 12:38:32 PM;0.4800001;3.839997;0.4238757;0.3397123;0.2900618;0.7672861;0.4988157;0.4662878;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;True;0.004852872;1.027117;1;0;;;;;;;;-8.97;2.29
